MAHARASHTRA
93. Guhagar (CT) [ MAH, Population: 3207, Class - VI ]
94. Hadgaon (M Cl) [ MAH, Population: 23339, Class - III ]
95. Hinganghat (M Cl) [ MAH, Population: 92342, Class - II ]
96. Hingoli (M Cl) [ MAH, Population: 69432, Class - II ]
97. Hupari (CT) [ MAH, Population: 28265, Class - III ]
98. Ichalkaranji UA [ MAH, Population: 285860, Class - I ]
99. Igatpuri (M Cl) [ MAH, Population: 31539, Class - III ]
100. Indapur (M Cl) [ MAH, Population: 21592, Class - III ]
101. Jalgaon (CT) [ MAH, Population: 5449, Class - V ]
102. Jalgaon (Jamod) (M Cl) [ MAH, Population: 26282, Class - III ]
103. Jalgaon (M Cl) [ MAH, Population: 368618, Class - I ]
104. Jalna (M Cl) [ MAH, Population: 235795, Class - I ]
105. Jamkhed (CT) [ MAH, Population: 27654, Class - III ]
106. Jawhar (M Cl) [ MAH, Population: 11298, Class - IV ]
107. Jaysingpur (M Cl) [ MAH, Population: 43067, Class - III ]
108. Jejuri (M Cl) [ MAH, Population: 12000, Class - IV ]
109. Jintur (M Cl) [ MAH, Population: 38112, Class - III ]
110. Junnar (M Cl) [ MAH, Population: 24741, Class - III ]
111. Kagal (M Cl) [ MAH, Population: 23776, Class - III ]
112. Kalamb (M Cl) [ MAH, Population: 23022, Class - III ]
113. Kalambe Turf Thane (CT) [ MAH, Population: 8734, Class - V ]
114. Kalameshwar(M Cl) [ MAH, Population: 17331, Class - IV ]
115. Kalamnuri (M Cl) [ MAH, Population: 20632, Class - III ] 
List of towns: Census of India 2001 Maharashtra– Page 5 of 13
MAHARASHTRA (Continued):
116. Kalundre (CT) [ MAH, Population: 7584, Class - V ]
117. Kamptee UA [ MAH, Population: 136491, Class - I ]
118. Kandhar (M Cl) [ MAH, Population: 20772, Class - III ]
119. Kandri (CT) [ MAH, Population: 8124, Class - V ]
120. Kandri (CT) [ MAH, Population: 5295, Class - V ]
121. Kankavli (CT) [ MAH, Population: 14625, Class - IV ]
122. Kannad (M Cl) [ MAH, Population: 34403, Class - III ]
123. Karad (M Cl) [ MAH, Population: 56161, Class - II ]
124. Karanja (M Cl) [ MAH, Population: 60158, Class - II ]
125. Karanje Turf Satara (CT) [ MAH, Population: 21504, Class - III ]
126. Karivali (CT) [ MAH, Population: 12932, Class - IV ]
127. Karjat (M Cl) [ MAH, Population: 25531, Class - III ]
128. Karmala (M Cl) [ MAH, Population: 21928, Class - III ]
129. Kasara Budruk (CT) [ MAH, Population: 15192, Class - IV ]
130. Katai (CT) [ MAH, Population: 11252, Class - IV ]
131. Katkar (CT) [ MAH, Population: 6108, Class - V ]
132. Katol (M Cl) [ MAH, Population: 37435, Class - III ]
133. Kegaon (CT) [ MAH, Population: 7923, Class - V ]
134. Khadkale (CT) [ MAH, Population: 9804, Class - V ]
135. Khamgaon (M Cl) [ MAH, Population: 88687, Class - II ]
136. Khapa (M Cl) [ MAH, Population: 14972, Class - IV ]
137. Khed (CT) [ MAH, Population: 6886, Class - V ]
